absolute file path,filename,extension,size (in bytes),last modified,md5_checksum,sha256_checksum
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/html-exercise/html-with-script.html,html-with-script.html,.html,1398,2022-09-28 T 09:41:40,ac8369049a6253ee1e4c21ef7bf3a22d,bd25a58bf5a41dfa8104de3fc1da52f4851d2fb76fd19a5760dff637c28b2013
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/html-exercise/script.js,script.js,.js,222,2022-09-28 T 09:41:40,d4b267d6618ada33db659d8f318780a5,b020324403c7087f8293bc4c7e4150363a55643371d2cefa04b1748f54574770
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/html-exercise/style.css,style.css,.css,138,2022-09-28 T 09:41:40,b80e739a8a0bcdda9f98a5aa04e67267,9a07066bfe539907ba85ccdc928a3b5e9dc46b20314622bd3204e5fc12df6b04
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/filenames-with-american-dates/diary-04-23-20.docx,diary-04-23-20.docx,.docx,12070,2022-09-28 T 09:41:40,a0d898c9eb87b9369459add1248e1a5a,67d1da40d5dcb38d5e9d8def88c6ccbfbf8433f32a5be66a05278b098f533d3e
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/filenames-with-american-dates/observations-03-30-2018.csv,observations-03-30-2018.csv,.csv,43,2022-09-28 T 09:41:40,2c463d4c553bae473458bc85268b91fc,67aa28340dc80e29f7f58e72cfc3ab386c044ea2e9fad66e1c26b2539b3717d0
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/filenames-with-american-dates/08-12-1997-items.xlsx,08-12-1997-items.xlsx,.xlsx,8844,2022-09-28 T 09:41:40,ed7237c18fc5f0219a5ea4e6e515ad87,00f7d37ab2567753a7463f62fc117b67617ec09938ef36587bbcefc8274e0b92
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/filenames-with-american-dates/diary-04-23-19.doc,diary-04-23-19.doc,.doc,22528,2022-09-28 T 09:41:40,2051bff468973af520ee2d603961bbf9,ecfb19bcc3c05513680f6060f1a0864aac428f38dcdcedc6fbf7f65e7fa50b2e
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/filenames-with-american-dates/08-12-1997-items.xls,08-12-1997-items.xls,.xls,25600,2022-09-28 T 09:41:40,9eed152f17df51ce627bba4ace26ed6a,2d9fbcdd272d2aaa7693855e7401abf20fedee1318f3316cd6044b0fc74e4550
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/filenames-with-american-dates/books-on-shelves12-3-2002.txt,books-on-shelves12-3-2002.txt,.txt,66,2022-09-28 T 09:41:40,4a7d7224626c241e188c85a5072c9a7e,d88753e626ed68d625833521f549b2d3f2ab1b4cbc0df64b5fe28bb4b85e7f37
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/filenames-with-american-dates/sightings-202203.jpg,sightings-202203.jpg,.jpg,57527,2022-09-28 T 09:41:40,4be180ad9340536ed320a0761c2634a9,5efe19fbaa24934bd151502c06bde08d10d0b915ae432ac01deffeab8e332f7c
